iter	Passed	Remaining
0	2	2788
1	3	1587
2	3	1153
3	3	928
4	4	800
5	4	705
6	4	641
7	4	587
8	4	547
9	5	522
10	5	498
11	5	476
12	6	458
13	6	444
14	6	429
15	6	421
16	7	410
17	7	400
18	7	390
19	7	381
20	8	379
21	8	372
22	8	369
23	8	364
24	9	357
25	9	352
26	9	348
27	9	343
28	10	340
29	10	338
30	10	335
31	10	332
32	11	330
33	11	327
34	11	323
35	12	321
36	12	318
37	12	316
38	12	314
39	12	311
40	13	310
41	13	309
42	13	307
43	14	306
44	14	304
45	14	303
46	14	301
47	15	300
48	15	298
49	15	296
50	15	295
51	16	293
52	16	292
53	16	291
54	16	290
55	17	288
56	17	286
57	17	285
58	17	284
59	18	283
60	18	281
61	18	280
62	18	280
63	19	279
64	19	278
65	19	277
66	19	276
67	20	276
68	20	275
69	20	274
70	20	273
71	21	272
72	21	271
73	21	270
74	21	270
75	22	271
76	22	272
77	23	271
78	23	270
79	23	269
80	23	269
81	23	267
82	24	265
83	24	264
84	24	263
85	24	262
86	24	261
87	25	260
88	25	259
89	25	259
90	25	259
91	26	258
92	26	257
93	26	257
94	26	256
95	27	256
96	27	255
97	27	255
98	28	254
99	28	254
100	28	253
101	28	253
102	29	252
103	29	251
104	29	251
105	29	250
106	29	249
107	30	249
108	30	248
109	30	247
110	30	247
111	31	246
112	31	246
113	31	245
114	31	245
115	32	245
116	32	244
117	32	244
118	32	244
119	33	243
120	33	243
121	33	242
122	33	241
123	34	242
124	34	241
125	34	241
126	34	240
127	35	239
128	35	239
129	35	239
130	35	238
131	36	238
132	36	237
133	36	237
134	37	237
135	37	237
136	37	236
137	37	236
138	38	235
139	38	235
140	39	239
141	39	238
142	39	237
143	39	236
144	40	236
145	40	236
146	40	235
147	40	235
148	41	234
149	41	234
150	41	233
151	41	233
152	42	233
153	42	233
154	42	232
155	42	232
156	43	232
157	43	231
158	43	231
159	43	230
160	44	229
161	44	229
162	44	228
163	44	228
164	45	228
165	45	227
166	45	227
167	45	226
168	46	226
169	46	226
170	46	225
171	46	225
172	47	224
173	47	224
174	47	224
175	47	224
176	48	224
177	48	223
178	48	223
179	49	223
180	49	222
181	49	222
182	49	222
183	49	221
184	50	221
185	50	220
186	50	220
187	50	220
188	51	219
189	51	219
190	51	219
191	51	218
192	52	218
193	52	218
194	52	217
195	53	217
196	53	216
197	53	216
198	53	216
199	54	216
200	54	215
201	54	215
202	54	215
203	54	214
204	55	214
205	55	213
206	55	213
207	56	213
208	56	212
209	56	212
210	56	212
211	57	212
212	57	211
213	57	211
214	57	211
215	58	210
216	58	210
217	58	209
218	58	209
219	59	209
220	59	208
221	59	208
222	59	208
223	60	207
224	60	207
225	60	207
226	60	206
227	61	206
228	61	206
229	61	205
230	61	205
231	62	205
232	62	205
233	62	204
234	62	204
235	63	204
236	63	204
237	63	204
238	64	204
239	64	203
240	64	203
241	64	203
242	65	202
243	65	202
244	65	202
245	65	201
246	66	201
247	66	201
248	66	201
249	66	200
250	67	200
251	67	200
252	67	199
253	67	199
254	68	199
255	68	199
256	68	198
257	68	198
258	70	201
259	70	200
260	70	200
261	70	199
262	71	199
263	71	198
264	71	198
265	71	198
266	72	198
267	72	197
268	72	197
269	72	197
270	73	196
271	73	196
272	73	196
273	73	195
274	74	195
275	74	194
276	74	194
277	74	194
278	75	193
279	75	193
280	75	193
281	75	193
282	76	192
283	76	192
284	76	192
285	76	191
286	77	191
287	77	191
288	77	191
289	77	190
290	78	190
291	78	190
292	78	189
293	78	189
294	79	189
295	79	189
296	79	188
297	80	188
298	80	188
299	80	187
300	80	187
301	81	187
302	81	186
303	81	186
304	81	186
305	82	186
306	82	185
307	82	185
308	82	185
309	83	185
